时间,东门,西门,南门,北门
00:00,3,2,25,0
00:10,3,2,25,1
00:20,4,4,26,1
00:30,4,4,26,1
00:40,5,4,27,2
00:50,6,4,27,2
01:00,7,4,28,3
01:10,9,4,28,4
01:20,10,4,28,5
01:30,11,5,28,5
01:40,15,7,28,5
01:50,15,7,28,5
02:00,15,7,28,6
02:10,16,7,28,7
02:20,17,7,28,7
02:30,18,7,28,8
02:40,20,8,28,9
02:50,21,9,28,11
03:00,21,11,28,11
03:10,21,12,28,12
03:20,23,14,29,14
03:30,23,15,29,14
03:40,25,16,29,15
03:50,30,17,29,15
04:00,32,20,31,15
04:10,34,21,31,15
04:20,35,23,31,17
04:30,36,30,32,19
04:40,38,33,32,20
04:50,40,33,32,21
05:00,42,34,33,23
05:10,43,36,34,24
05:20,45,36,34,26
05:30,47,36,34,26
05:40,50,38,34,27
05:50,50,38,34,28
06:00,53,38,34,29
06:10,53,39,34,29
06:20,53,41,34,30
06:30,54,42,34,30
06:40,55,43,34,30
06:50,56,44,34,31
07:00,56,45,35,31
07:10,57,45,35,32
07:20,57,46,35,32
07:30,57,48,35,32
07:40,58,50,36,31
07:50,59,52,36,34
08:00,62,54,36,34
08:10,62,54,37,35
08:20,61,54,37,34
08:30,64,53,37,34
08:40,62,52,36,34
08:50,62,52,36,35
09:00,61,49,37,35
09:10,56,47,38,35
09:20,53,47,38,34
09:30,52,46,39,34
09:40,49,46,39,35
09:50,49,46,39,33
10:00,49,45,39,33
10:10,49,44,39,31
10:20,46,43,39,29
10:30,43,42,39,29
10:40,43,42,39,29
10:50,41,44,38,29
11:00,39,43,38,29
11:10,36,43,38,30
11:20,36,43,38,29
11:30,31,42,38,28
11:40,30,40,38,28
11:50,26,39,39,26
12:00,19,37,38,23
